time,longitude,latitude,EA1,SSH1,Radius1,U1,track1,c1,Year,Month,RNL1
1/1/2001,1,-19,0.0046,-0.00067,45500,0.0394,159519,0,2001,1,
1/2/2001,1,-19,0.0043,0,47650,0.0375,159519,0.0375,2001,1,1
1/1/2001,15,-30,0.0224,-0.059,34000,0.1448,159658,0,2001,1,
1/2/2001,15,-30,0.0205,-0.06,34900,0.1435,159658,0.1435,2001,1,1
1/3/2001,15,-30,0.018,-0.064,32550,0.1443,159658,0.1443,2001,1,1
1/1/2001,11,-16,0.0061,-0.024,33900,0.0724,159857,0.0724,2001,1,1
1/2/2001,11,-16,0.0064,-0.024,35000,0.0813,159857,0.0813,2001,1,1
1/2/2001,9,-29,0.0081,-0.068,32400,0.0801,159922,0.0801,2001,1,1
1/3/2001,9,-29,0.0078,-0.068,38550,0.0812,159922,0.0812,2001,1,1
1/4/2001,9,-29,0.0084,-0.069,36700,0.0826,159922,0,2001,1,
1/5/2001,9,-29,0.009,-0.07,34900,0.0841,159922,0.0841,2001,1,1
1/6/2001,9,-29,0.0104,-0.07,33400,0.0892,159922,0.0892,2001,1,1
1/7/2001,9,-29,0.0103,-0.07067,35050,0.0896,159922,0,2001,1,
1/8/2001,9,-29,0.0102,-0.07133,36700,0.0901,159922,0,2001,1,
1/9/2001,9,-29,0.0101,-0.072,38350,0.0906,159922,0.0906,2001,1,1
1/3/2001,11,-19,0.0067,-0.01,47050,0.0622,159949,0.0622,2001,1,1
1/4/2001,11,-19,0.0073,-0.01,56050,0.0697,159949,0.0697,2001,1,1
1/5/2001,11,-19,0.0049,-0.016,42650,0.0687,159949,0.0687,2001,1,1
1/6/2001,11,-19,0.0077,-0.014,44450,0.0763,159949,0.0763,2001,1,1
1/10/2001,0,-36,0.015,-0.066,32700,0.0882,160365,0.0882,2001,1,1
1/11/2001,0,-36,0.0146,-0.066,32500,0.0887,160365,0.0887,2001,1,1
1/12/2001,0,-36,0.012,-0.066,30600,0.0789,160365,0.0789,2001,1,1
1/13/2001,0,-36,0.0114,-0.066,30500,0.0734,160365,0.0734,2001,1,1
1/14/2001,0,-36,0.0104,-0.066,28050,0.0709,160365,0.0709,2001,1,1
1/15/2001,0,-35,0.0118,-0.064,30800,0.0691,160365,0.0691,2001,1,1
1/16/2001,0,-36,0.0092,-0.064,27850,0.0656,160365,0.0656,2001,1,1
1/17/2001,0,-36,0.0087,-0.062,27750,0.0631,160365,0,2001,1,
1/18/2001,0,-36,0.0082,-0.06,27650,0.0607,160365,0.0607,2001,1,1
1/12/2001,11,-20,0.0064,-0.008,40850,0.0542,160441,0.0542,2001,1,1
1/13/2001,11,-20,0.0069,-0.008,44250,0.0521,160441,0.0521,2001,1,1
1/14/2001,11,-20,0.0066,-0.008,42550,0.0506,160441,0.0506,2001,1,1
1/14/2001,12,-30,0.0096,0.006,35050,0.0975,160531,0.0975,2001,1,1
1/15/2001,12,-29,0.01,0.008,35250,0.1009,160531,0.1009,2001,1,1
1/22/2001,11,-36,0.0439,-0.172,44150,0.2502,161012,0.2502,2001,1,1
1/23/2001,11,-36,0.0547,-0.154,50950,0.2436,161012,0.2436,2001,1,1
1/24/2001,11,-36,0.0592,-0.148,49000,0.2432,161012,0.2422,2001,1,1.004128819157721
1/25/2001,11,-36,0.05,-0.148,46000,0.2378,161012,0.2378,2001,1,1
1/24/2001,11,-24,0.0055,-0.034,41350,0.0478,161081,0.0478,2001,1,1
1/25/2001,11,-24,0.0059,-0.034,39950,0.0539,161081,0.0539,2001,1,1
1/25/2001,15,-34,0.0325,-0.066,37250,0.1768,161149,0.1758,2001,1,1.005688282138794
1/26/2001,15,-34,0.0343,-0.068,37600,0.1877,161149,0.1868,2001,1,1.0048179871520344
1/27/2001,15,-34,0.0383,-0.068,40100,0.2107,161149,0.2103,2001,1,1.0019020446980504
1/28/2001,15,-34,0.0429,-0.07,41950,0.2179,161149,0.2152,2001,1,1.012546468401487
1/29/2001,15,-34,0.04,-0.078,40000,0.2215,161149,0.2211,2001,1,1.0018091361374943
1/30/2001,15,-34,0.0304,-0.088,36700,0.2034,161149,0.2034,2001,1,1
1/31/2001,15,-34,0.0203,-0.098,35450,0.1771,161149,0.1771,2001,1,1
2/1/2001,14,-34,0.0163,-0.102,37850,0.1657,161149,0.1657,2001,2,1
1/27/2001,12,-21,0.0045,-0.006,37650,0.0449,161230,0.0449,2001,1,1
1/28/2001,12,-21,0.0051,-0.004,42850,0.0446,161230,0.0446,2001,1,1
1/29/2001,12,-21,0.0056,-0.00667,41250,0.0511,161230,0,2001,1,
1/30/2001,12,-21,0.0062,-0.00933,39650,0.0576,161230,0,2001,1,
1/31/2001,12,-21,0.0068,-0.012,38100,0.0642,161230,0.0642,2001,1,1
2/3/2001,9,-38,0.0106,-0.06,31300,0.1076,161642,0.1076,2001,2,1
2/4/2001,9,-38,0.0198,-0.054,42400,0.119,161642,0.119,2001,2,1
2/5/2001,9,-38,0.0153,-0.058,42050,0.1141,161642,0.1141,2001,2,1
2/6/2001,9,-38,0.015,-0.06,38100,0.1089,161642,0.1089,2001,2,1
2/4/2001,2,-19,0.01,-0.016,85900,0.0728,161681,0.0728,2001,2,1
2/5/2001,2,-19,0.0091,-0.016,84550,0.0713,161681,0.0713,2001,2,1
