"Gear
Group",Year,Time,Lat,Latd,Lon,Effort,SWO,ALB,YFT,BET,CPUE_SWO,CPUE_ALB,CPUE_YFT,CPUE_BET
LL 5X5,2001,Jan-01,15,-15,10,0,0,0,0,50,0,0,0,0.015197568
LL,2001,Feb-01,15,-15,10,1200,0,2,0,0,0,0.001666667,0,0
LL,2001,Feb-01,20,-20,5,19600,140,31,0,110,0.007142857,0.001581633,0,0.005612245
LL,2001,Mar-01,15,-15,5,1100,203,0,0,0,0.184545455,0,0,0
LL,2001,Mar-01,15,-15,10,16100,1062,294,0,0,0.065962733,0.01826087,0,0
LL,2001,Mar-01,25,-25,5,24116,9703,90,8270,1440,0.40234699,0.003731962,0.342925858,0.059711395
LL,2001,Apr-01,20,-20,5,74790,4317,290,540,0,0.057721621,0.003877524,0.007220217,0
LL,2001,May-01,20,-20,10,5540,455,0,0,0,0.082129964,0,0,0
LL,2001,May-01,15,-15,5,12600,14770,505,95,570,1.172222222,0.040079365,0.007539683,0.045238095
LL,2001,May-01,15,-15,10,30340,1515,55,65,1065,0.04993408,0.001812788,0.002142386,0.035102175
LL,2001,May-01,20,-20,10,18280,3376,888,542,444,0.184682713,0.048577681,0.029649891,0.02428884
LL,2001,May-01,25,-25,5,18680,937,950,0,0,0.0501606,0.050856531,0,0
LL,2001,May-01,25,-25,10,28720,19940,983,1845,1615,0.694289694,0.034227019,0.064240947,0.056232591
LL,2001,May-01,25,-25,15,55700,8117,17320,207,1077,0.14572711,0.310951526,0.003716338,0.019335727
LL,2001,Jun-01,15,-15,5,10700,251,0,0,275,0.023457944,0,0,0.025700935
LL,2001,Jun-01,15,-15,10,38170,9061,660,2484,15,0.237385381,0.017291066,0.065077286,0.000392979
LL,2001,Jun-01,20,-20,5,102022,15770,1820,3315,1560,0.154574504,0.01783929,0.032492992,0.01529082
LL,2001,Jun-01,20,-20,10,39100,6106,510,3536,664,0.156163683,0.013043478,0.090434783,0.016982097
LL,2001,Jun-01,25,-25,10,14600,6746,3528,674,1315,0.462054795,0.241643836,0.046164384,0.090068493
LL,2001,Jun-01,25,-25,15,56300,37600,12310,1174,4923,0.667850799,0.218650089,0.020852575,0.087442274
LL,2001,Jul-01,15,-15,5,6200,142,0,0,69,0.022903226,0,0,0.011129032
LL,2001,Jul-01,15,-15,10,42352,9433,545,1420,860,0.222728561,0.012868342,0.033528523,0.020306007
LL,2001,Jul-01,20,-20,5,72216,13130,7525,1980,7586,0.181815664,0.104201285,0.027417747,0.105045973
LL,2001,Jul-01,20,-20,10,75476,24620,6706,3065,7745,0.326196407,0.088849436,0.040608935,0.102615401
LL,2001,Jul-01,25,-25,10,28164,5720,4727,1158,1019,0.203096151,0.167838375,0.041116319,0.03618094
LL,2001,Jul-01,25,-25,15,76100,13510,7148,269,4019,0.177529566,0.093929041,0.003534823,0.052812089
LL,2001,Aug-01,15,-15,5,88465,7507,205,130,784,0.084858419,0.002317301,0.001469508,0.008862262
LL,2001,Aug-01,15,-15,10,30972,4500,50,540,590,0.145292522,0.001614361,0.017435103,0.019049464
LL,2001,Aug-01,20,-20,5,131846,31420,4552,254,2646,0.238308329,0.034525128,0.00192649,0.020068868
LL,2001,Aug-01,20,-20,10,67090,19070,4876,1885,4165,0.284245044,0.072678492,0.028096587,0.062080787
LL,2001,Aug-01,25,-25,10,19844,4373,5823,798,1580,0.220368877,0.293438823,0.040213667,0.079621044
LL,2001,Aug-01,25,-25,15,130988,54510,15360,45,19110,0.41614499,0.11726265,0.000343543,0.145891227
