"Gear
Group",Year,Time,Lat,Latd,Lon,Effort,SWO,ALB,YFT,BET,CPUE-SWO,CPUE-ALB,CPUE-YFT,CPUE-BET
LL,2001,1-Jan,30,-30,15,9600,490,850,490,0,0.051041667,0.088541667,0.051041667,0
LL 5X5,2001,1-Jan,30,-30,15,3290,0,0,0,50,0,0,0,0.015197568
LL,2001,1-Jan,35,-35,15,11200,285,83,1315,0,0.025446429,0.007410714,0.117410714,0
LL,2001,1-Jan,30,-30,10,4400,947,160,50,230,0.215227273,0.036363636,0.011363636,0.052272727
LL,2001,1-Jan,30,-30,15,16000,2737,125,672,857,0.1710625,0.0078125,0.042,0.0535625
LL,2001,1-Jan,35,-35,15,38985,11568,691,1254,1444,0.296729511,0.017724766,0.032166218,0.037039887
LL,2001,1-Feb,30,-30,15,11750,270,50,500,0,0.022978723,0.004255319,0.042553191,0
LL,2001,1-Feb,35,-35,15,2400,450,400,1700,0,0.1875,0.166666667,0.708333333,0
LL,2001,1-Feb,30,-30,10,2900,340,50,0,0,0.117241379,0.017241379,0,0
LL,2001,1-Feb,30,-30,15,13000,2991,1059,455,590,0.230076923,0.081461538,0.035,0.045384615
LL,2001,1-Feb,35,-35,15,3000,529,45,20,80,0.176333333,0.015,0.006666667,0.026666667
LL,2001,1-Mar,30,-30,15,9410,0,0,0,0,0,0,0,0
LL,2001,1-Mar,35,-35,15,8345,290,900,810,110,0.034751348,0.107849011,0.09706411,0.013181546
LL,2001,1-Mar,30,-30,10,13950,3325,45,70,130,0.238351254,0.003225806,0.005017921,0.009318996
LL,2001,1-Mar,35,-35,15,12900,3160,0,1565,0,0.24496124,0,0.121317829,0
LL,2001,1-Apr,30,-30,15,81160,1774,321,45,20,0.021858058,0.00395515,0.00055446,0.000246427
LL,2001,1-Apr,30,-30,15,4980,250,0,270,0,0.050200803,0,0.054216867,0
LL,2001,1-Apr,35,-35,15,4000,550,1350,4920,0,0.1375,0.3375,1.23,0
LL,2001,1-Apr,30,-30,10,8320,1375,153,65,65,0.165264423,0.018389423,0.0078125,0.0078125
LL,2001,1-Apr,30,-30,15,6510,1461,515,300,30,0.224423963,0.079109063,0.046082949,0.004608295
LL,2001,1-Apr,35,-35,15,20900,2735,1088,14025,600,0.130861244,0.052057416,0.671052632,0.028708134
LL,2001,1-May,30,-30,10,50450,14576,13601,345,1420,0.288919722,0.269593657,0.006838454,0.02814668
LL,2001,1-May,30,-30,15,26350,4279,9037,464,823,0.162390892,0.342960152,0.017609108,0.031233397
LL,2001,1-May,35,-35,15,16000,2566,2476,3066,225,0.160375,0.15475,0.191625,0.0140625
LL,2001,1-May,30,-30,15,60850,3829,4046,190,910,0.062925226,0.066491372,0.003122432,0.014954807
LL,2001,1-May,30,-30,15,9500,0,200,0,0,0,0.021052632,0,0
LL,2001,1-Jun,30,-30,10,3400,300,1490,0,0,0.088235294,0.438235294,0,0
LL,2001,1-Jun,30,-30,15,11863,360,566,400,280,0.030346455,0.047711371,0.033718284,0.023602799
LL,2001,1-Jun,30,-30,5,1800,648,120,0,0,0.36,0.066666667,0,0
LL,2001,1-Jun,30,-30,10,104490,41341,37091,1309,6713,0.395645516,0.354971768,0.012527515,0.064245382
LL,2001,1-Jun,30,-30,15,32130,3815,4371,99,1874,0.118736383,0.136041083,0.003081232,0.058325552
LL,2001,1-Jun,35,-35,15,11450,2994,669,4315,1443,0.261484716,0.058427948,0.376855895,0.126026201
LL,2001,1-Jul,30,-30,10,18000,14020,779,0,1870,0.778888889,0.043277778,0,0.103888889
LL,2001,1-Jul,30,-30,5,8000,4114,451,0,540,0.51425,0.056375,0,0.0675
LL,2001,1-Jul,30,-30,10,21595,7999,1718,65,1120,0.370409817,0.079555453,0.003009956,0.051863857
LL,2001,1-Jul,30,-30,15,53300,12866,10508,1864,11615,0.241388368,0.197148218,0.034971857,0.217917448
LL,2001,1-Aug,30,-30,10,5400,807,789,0,80,0.149444444,0.146111111,0,0.014814815
LL,2001,1-Aug,30,-30,10,7000,2559,70,0,500,0.365571429,0.01,0,0.071428571
LL,2001,1-Aug,30,-30,15,12000,1840,776,0,2374,0.153333333,0.064666667,0,0.197833333
LL,2001,1-Aug,35,-35,10,1600,354,21,0,387,0.22125,0.013125,0,0.241875
LL,2001,1-Aug,30,-30,15,5200,240,0,0,630,0.046153846,0,0,0.121153846
LL,2001,1-Aug,35,-35,15,15600,1550,970,3335,4865,0.099358974,0.062179487,0.213782051,0.311858974
LL,2001,1-Sep,30,-30,15,8700,1920,1370,389,1825,0.220689655,0.157471264,0.044712644,0.209770115
LL,2001,1-Sep,35,-35,15,12700,1034,490,1505,3365,0.081417323,0.038582677,0.118503937,0.26496063
LL,2001,1-Oct,30,-30,5,11700,5140,50,25,695,0.439316239,0.004273504,0.002136752,0.059401709
LL,2001,1-Oct,30,-30,10,3108,122,0,151,748,0.039253539,0,0.048584299,0.240669241
LL,2001,1-Oct,30,-30,15,23800,3453,184,0,287,0.145084034,0.007731092,0,0.012058824
LL,2001,1-Oct,30,-30,10,1500,279,52,0,0,0.186,0.034666667,0,0
LL,2001,1-Oct,30,-30,15,12050,1532,635,3465,1428,0.127136929,0.052697095,0.287551867,0.118506224
LL,2001,1-Oct,35,-35,15,13200,2913,1262,7659,2107,0.220681818,0.095606061,0.580227273,0.159621212
LL,2001,1-Oct,30,-30,15,2650,0,24,60,80,0,0.009056604,0.022641509,0.030188679
LL,2001,1-Oct,35,-35,15,2200,70,75,380,140,0.031818182,0.034090909,0.172727273,0.063636364
LL,2001,1-Nov,30,-30,15,520,0,0,100,0,0,0,0.192307692,0
LL,2001,1-Nov,35,-35,15,2100,35,0,100,35,0.016666667,0,0.047619048,0.016666667
LL,2001,1-Nov,30,-30,10,5700,195,274,0,560,0.034210526,0.048070175,0,0.098245614
LL,2001,1-Nov,30,-30,15,22140,985,867,1688,887,0.044489612,0.039159892,0.076242096,0.040063234
LL,2001,1-Nov,30,-30,5,40380,1531,227,118,402,0.037914809,0.005621595,0.002922239,0.009955423
LL,2001,1-Nov,30,-30,10,9680,5450,0,0,0,0.563016529,0,0,0
LL,2001,1-Nov,30,-30,15,14520,9375,0,0,0,0.645661157,0,0,0
LL,2001,1-Nov,35,-35,15,20200,4150,392,5625,965,0.205445545,0.019405941,0.278465347,0.047772277
LL,2001,1-Dec,30,-30,10,4740,354,97,35,285,0.074683544,0.020464135,0.007383966,0.060126582
LL,2001,1-Dec,30,-30,15,20900,711,1120,1531,155,0.034019139,0.053588517,0.073253589,0.007416268
LL,2001,1-Dec,35,-35,15,9900,2705,38,840,30,0.273232323,0.003838384,0.084848485,0.003030303
LL,2002,2-Jan,30,-30,10,1500,460,300,0,165,0.306666667,0.2,0,0.11
LL,2002,2-Feb,30,-30,5,4800,1425,0,0,0,0.296875,0,0,0
LL,2002,2-Feb,30,-30,5,2100,2225,150,45,0,1.05952381,0.071428571,0.021428571,0
LL,2002,2-Mar,30,-30,5,4650,1973,720,242,796,0.424301075,0.15483871,0.052043011,0.171182796
LL,2002,2-Mar,30,-30,5,0,0,0,0,5726,0,0,0,0
LL,2002,2-Mar,30,-30,5,3600,2000,30,130,75,0.555555556,0.008333333,0.036111111,0.020833333
LL,2002,2-Mar,30,-30,5,1600,725,210,115,85,0.453125,0.13125,0.071875,0.053125
LL,2002,2-Mar,30,-30,5,1600,300,300,185,60,0.1875,0.1875,0.115625,0.0375
LL,2002,2-Mar,30,-30,5,1600,1170,150,180,0,0.73125,0.09375,0.1125,0
LL,2002,2-Mar,30,-30,5,1600,758,50,45,0,0.47375,0.03125,0.028125,0
LL,2002,2-Apr,30,-30,5,3500,1700,150,155,445,0.485714286,0.042857143,0.044285714,0.127142857
LL,2002,2-Apr,30,-30,5,6400,2686,400,221,292,0.4196875,0.0625,0.03453125,0.045625
LL,2002,2-Apr,30,-30,5,3600,2862,160,0,253,0.795,0.044444444,0,0.070277778
LL,2002,2-Apr,30,-30,10,5100,1025,350,60,804,0.200980392,0.068627451,0.011764706,0.157647059
LL,2002,2-Apr,30,-30,10,8500,2290,880,90,765,0.269411765,0.103529412,0.010588235,0.09
LL,2002,2-Apr,30,-30,15,1050,,,,,0,0,0,0
LL,2002,2-Apr,30,-30,15,1700,180,20,0,200,0.105882353,0.011764706,0,0.117647059
LL,2002,2-Apr,30,-30,15,1700,260,110,30,180,0.152941176,0.064705882,0.017647059,0.105882353
LL,2002,2-Apr,35,-35,15,2750,1285,160,745,460,0.467272727,0.058181818,0.270909091,0.167272727
LL,2002,2-Apr,35,-35,15,5600,810,1115,1575,240,0.144642857,0.199107143,0.28125,0.042857143
LL,2002,2-May,30,-30,10,1300,536,15,0,125,0.412307692,0.011538462,0,0.096153846
LL,2002,2-May,30,-30,10,8300,5534,685,251,765,0.666746988,0.08253012,0.030240964,0.092168675
LL,2002,2-May,30,-30,10,9700,6432,255,395,337,0.663092784,0.02628866,0.040721649,0.034742268
LL,2002,2-May,30,-30,10,8850,5521,915,1290,601,0.623841808,0.103389831,0.145762712,0.067909605
LL,2002,2-May,30,-30,10,14500,7530,742,1130,328,0.519310345,0.051172414,0.077931034,0.02262069
LL,2002,2-May,30,-30,10,700,662,0,0,603,0.945714286,0,0,0.861428571
LL,2002,2-May,30,-30,10,1500,1095,25,80,0,0.73,0.016666667,0.053333333,0
LL,2002,2-May,30,-30,10,8600,1852,1230,233,1407,0.215348837,0.143023256,0.027093023,0.163604651
LL,2002,2-May,30,-30,10,2700,2527,2126,121,567,0.935925926,0.787407407,0.044814815,0.21
LL,2002,2-May,30,-30,15,0,200,0,0,450,0,0,0,0
LL,2002,2-May,30,-30,15,4600,3001,550,57,1346,0.652391304,0.119565217,0.012391304,0.292608696
LL,2002,2-May,30,-30,15,1440,1145,0,50,84,0.795138889,0,0.034722222,0.058333333
LL,2002,2-May,30,-30,15,4808,2230,46,41,272,0.463810316,0.009567388,0.008527454,0.056572379
LL,2002,2-May,35,-35,15,0,80,0,0,0,0,0,0,0
LL,2002,2-May,35,-35,15,5400,1015,140,720,270,0.187962963,0.025925926,0.133333333,0.05
LL,2002,2-Jun,30,-30,10,8900,3946,335,0,555,0.443370787,0.037640449,0,0.062359551
LL,2002,2-Jun,30,-30,10,1300,260,200,0,120,0.2,0.153846154,0,0.092307692
LL,2002,2-Jun,30,-30,10,9450,4438,740,0,990,0.46962963,0.078306878,0,0.104761905
LL,2002,2-Jun,30,-30,10,6800,1258,580,10,630,0.185,0.085294118,0.001470588,0.092647059
LL,2002,2-Jun,30,-30,10,3600,1110,60,0,440,0.308333333,0.016666667,0,0.122222222
LL,2002,2-Jun,30,-30,10,1700,534,944,171,568,0.314117647,0.555294118,0.100588235,0.334117647
LL,2002,2-Jun,30,-30,10,11300,5301,3663,280,3268,0.469115044,0.324159292,0.024778761,0.28920354
LL,2002,2-Jun,30,-30,10,19240,11129,3031,199,2259,0.578430353,0.157536383,0.010343035,0.117411642
LL,2002,2-Jun,30,-30,10,1900,1050,80,0,240,0.552631579,0.042105263,0,0.126315789
LL,2002,2-Jun,30,-30,15,11350,3703,2965,32,2032,0.326255507,0.26123348,0.002819383,0.179030837
LL,2002,2-Jun,30,-30,15,8050,2400,1415,60,983,0.298136646,0.175776398,0.007453416,0.122111801
LL,2002,2-Jun,30,-30,15,2200,416,1200,0,295,0.189090909,0.545454545,0,0.134090909
LL,2002,2-Jun,30,-30,15,11600,2680,1448,200,1940,0.231034483,0.124827586,0.017241379,0.167241379
LL,2002,2-Jun,30,-30,15,1000,500,200,200,150,0.5,0.2,0.2,0.15
LL,2002,2-Jun,35,-35,10,1000,461,0,257,562,0.461,0,0.257,0.562
LL,2002,2-Jun,35,-35,15,10800,6207,1210,1480,4222,0.574722222,0.112037037,0.137037037,0.390925926
LL,2002,2-Jun,35,-35,15,1000,280,0,190,1400,0.28,0,0.19,1.4
LL,2002,2-Jul,30,-30,10,5900,2112,395,0,265,0.357966102,0.066949153,0,0.044915254
LL,2002,2-Jul,30,-30,10,3700,1220,250,0,490,0.32972973,0.067567568,0,0.132432432
LL,2002,2-Jul,30,-30,10,2950,1636,990,35,718,0.554576271,0.33559322,0.011864407,0.243389831
LL,2002,2-Jul,30,-30,10,14350,4884,1790,0,2570,0.340348432,0.124738676,0,0.179094077
LL,2002,2-Jul,30,-30,10,18390,7339,3480,25,3548,0.399075585,0.189233279,0.001359434,0.192930941
LL,2002,2-Jul,30,-30,10,9490,5275,1045,0,1741,0.555848261,0.110115911,0,0.18345627
LL,2002,2-Jul,30,-30,10,50980,22682,6363,90,9151,0.444919576,0.124813652,0.001765398,0.179501765
LL,2002,2-Jul,30,-30,15,6840,2748,1847,70,1607,0.401754386,0.27002924,0.010233918,0.23494152
LL,2002,2-Jul,30,-30,15,10400,7862,4391,43,3860,0.755961538,0.422211538,0.004134615,0.371153846
LL,2002,2-Jul,30,-30,15,7800,2822,330,0,1222,0.361794872,0.042307692,0,0.156666667
LL,2002,2-Jul,30,-30,15,2700,1050,180,0,70,0.388888889,0.066666667,0,0.025925926
LL,2002,2-Jul,30,-30,15,2020,383,120,0,555,0.18960396,0.059405941,0,0.274752475
LL,2002,2-Jul,30,-30,15,3200,815,340,355,1255,0.2546875,0.10625,0.1109375,0.3921875
LL,2002,2-Jul,35,-35,15,7500,3263,0,0,0,0.435066667,0,0,0
LL,2002,2-Jul,35,-35,15,4700,1540,310,125,1170,0.327659574,0.065957447,0.026595745,0.24893617
LL,2002,2-Aug,30,-30,15,4150,164,115,0,337,0.039518072,0.027710843,0,0.081204819
LL,2002,2-Aug,30,-30,15,9880,2095,425,74,1033,0.212044534,0.043016194,0.007489879,0.104554656
LL,2002,2-Aug,30,-30,15,10840,2779,500,135,933,0.256365314,0.046125461,0.012453875,0.086070111
LL,2002,2-Aug,30,-30,15,6000,1013,89,0,451,0.168833333,0.014833333,0,0.075166667
LL,2002,2-Aug,30,-30,15,28640,8307,2364,1961,6027,0.290048883,0.082541899,0.06847067,0.210439944
LL,2002,2-Aug,35,-35,15,1500,300,600,200,200,0.2,0.4,0.133333333,0.133333333
LL,2002,2-Aug,35,-35,15,7350,1987,2440,478,1500,0.270340136,0.331972789,0.065034014,0.204081633
LL,2002,2-Aug,35,-35,15,2600,595,0,362,1812,0.228846154,0,0.139230769,0.696923077
LL,2002,2-Aug,35,-35,15,8790,3054,1980,1453,5158,0.347440273,0.225255973,0.165301479,0.586803185
LL,2002,2-Aug,35,-35,15,10000,3097,338,792,1181,0.3097,0.0338,0.0792,0.1181
LL,2002,2-Aug,35,-35,15,0,257,0,0,50,0,0,0,0
LL,2002,2-Aug,35,-35,15,4500,3164,360,865,1680,0.703111111,0.08,0.192222222,0.373333333
LL,2002,2-Aug,35,-35,15,13200,6157,1912,4588,6188,0.466439394,0.144848485,0.347575758,0.468787879
LL,2002,2-Sep,30,-30,10,1800,285,100,0,285,0.158333333,0.055555556,0,0.158333333
LL,2002,2-Sep,30,-30,10,960,119,0,0,42,0.123958333,0,0,0.04375
LL,2002,2-Sep,30,-30,15,1100,894,0,0,112,0.812727273,0,0,0.101818182
LL,2002,2-Sep,30,-30,15,13550,3956,1870,0,4640,0.29195572,0.13800738,0,0.342435424
LL,2002,2-Sep,30,-30,15,2200,67,30,0,0,0.030454545,0.013636364,0,0
LL,2002,2-Sep,30,-30,15,7750,1566,670,0,3050,0.202064516,0.086451613,0,0.393548387
LL,2002,2-Sep,30,-30,15,1400,569,10,90,95,0.406428571,0.007142857,0.064285714,0.067857143
LL,2002,2-Sep,30,-30,15,0,705,2100,470,270,0,0,0,0
LL,2002,2-Sep,35,-35,15,5000,1080,180,0,485,0.216,0.036,0,0.097
LL,2002,2-Sep,35,-35,15,2500,1209,1536,2376,1980,0.4836,0.6144,0.9504,0.792
LL,2002,2-Sep,35,-35,15,5000,1524,410,2520,1932,0.3048,0.082,0.504,0.3864
LL,2002,2-Sep,35,-35,15,23600,6554,346,6315,11670,0.277711864,0.014661017,0.267584746,0.494491525
LL,2002,2-Sep,35,-35,15,8000,2100,400,35,1700,0.2625,0.05,0.004375,0.2125
LL,2002,2-Sep,35,-35,15,3600,735,0,0,0,0.204166667,0,0,0
LL,2002,2-Sep,35,-35,15,10300,1679,700,53,3950,0.163009709,0.067961165,0.005145631,0.383495146
