time,latitude,longitude,Effort,Catch_SWO,Catch_ALB,Catch_YFT,Catch_BET,Year,Month,Month_Name
1-Jan,-15,10,0,0,0,0,50,2001,1,Janvier
1-Feb,-15,10,1200,0,2,0,0,2001,2,F¨¦vrier
1-Feb,-20,5,19600,140,31,0,110,2001,2,F¨¦vrier
1-Mar,-15,5,1100,203,0,0,0,2001,3,Mars
1-Mar,-15,10,16100,1062,294,0,0,2001,3,Mars
1-Mar,-25,5,24116,9703,90,8270,1440,2001,3,Mars
1-Apr,-20,5,74790,4317,290,540,0,2001,4,Avril
1-May,-20,10,5540,455,0,0,0,2001,5,Mai
1-May,-15,5,12600,14770,505,95,570,2001,5,Mai
1-May,-15,10,30340,1515,55,65,1065,2001,5,Mai
1-May,-20,10,18280,3376,888,542,444,2001,5,Mai
1-May,-25,5,18680,937,950,0,0,2001,5,Mai
1-May,-25,10,28720,19940,983,1845,1615,2001,5,Mai
1-May,-25,15,55700,8117,17320,207,1077,2001,5,Mai
1-Jun,-15,5,10700,251,0,0,275,2001,6,Juin
1-Jun,-15,10,38170,9061,660,2484,15,2001,6,Juin
1-Jun,-20,5,102022,15770,1820,3315,1560,2001,6,Juin
1-Jun,-20,10,39100,6106,510,3536,664,2001,6,Juin
1-Jun,-25,10,14600,6746,3528,674,1315,2001,6,Juin
1-Jun,-25,15,56300,37600,12310,1174,4923,2001,6,Juin
1-Jul,-15,5,6200,142,0,0,69,2001,7,Juillet
1-Jul,-15,10,42352,9433,545,1420,860,2001,7,Juillet
1-Jul,-20,5,72216,13130,7525,1980,7586,2001,7,Juillet
1-Jul,-20,10,75476,24620,6706,3065,7745,2001,7,Juillet
1-Jul,-25,10,28164,5720,4727,1158,1019,2001,7,Juillet
1-Jul,-25,15,76100,13510,7148,269,4019,2001,7,Juillet
1-Aug,-15,5,88465,7507,205,130,784,2001,8,Ao?t
1-Aug,-15,10,30972,4500,50,540,590,2001,8,Ao?t
1-Aug,-20,5,131846,31420,4552,254,2646,2001,8,Ao?t
1-Aug,-20,10,67090,19070,4876,1885,4165,2001,8,Ao?t
1-Aug,-25,10,19844,4373,5823,798,1580,2001,8,Ao?t
1-Aug,-25,15,130988,54510,15360,45,19110,2001,8,Ao?t
1-Sep,-15,5,7984,170,0,0,0,2001,9,Septembre
1-Sep,-15,10,20000,1335,0,545,250,2001,9,Septembre
1-Sep,-20,5,68276,9069,2927,350,2126,2001,9,Septembre
1-Sep,-20,10,38760,10720,2630,645,2610,2001,9,Septembre
1-Sep,-25,10,79665,26410,7938,835,13980,2001,9,Septembre
1-Oct,-25,15,48570,4438,2404,0,1588,2001,10,Octobre
1-Oct,-15,5,8400,795,40,0,0,2001,10,Octobre
1-Oct,-15,10,53738,2261,326,732,3860,2001,10,Octobre
1-Oct,-20,5,2200,290,0,0,60,2001,10,Octobre
1-Oct,-20,10,48000,5021,221,0,665,2001,10,Octobre
1-Oct,-25,5,2600,1085,20,0,170,2001,10,Octobre
1-Oct,-25,10,84140,25010,3560,700,3179,2001,10,Octobre
1-Oct,-25,15,9300,511,380,0,623,2001,10,Octobre
1-Nov,-15,5,35316,762,43,952,11780,2001,11,Novembre
1-Nov,-15,10,105280,1585,533,1493,15260,2001,11,Novembre
1-Nov,-20,5,1000,140,0,0,0,2001,11,Novembre
1-Nov,-20,10,21300,1708,174,35,120,2001,11,Novembre
1-Nov,-25,5,31460,7948,0,0,0,2001,11,Novembre
1-Nov,-25,10,14520,4816,960,280,1160,2001,11,Novembre
1-Nov,-25,15,19600,975,3811,0,3835,2001,11,Novembre
1-Dec,-15,5,14050,265,0,0,0,2001,12,D¨¦cembre
1-Dec,-15,10,38770,290,0,450,300,2001,12,D¨¦cembre
1-Dec,-20,5,29300,800,15,130,125,2001,12,D¨¦cembre
1-Dec,-20,10,26850,903,30,90,0,2001,12,D¨¦cembre
1-Dec,-25,15,18000,690,49180,115,14230,2001,12,D¨¦cembre
2-Jan,-15,10,41000,250,0,505,400,2002,1,Janvier
2-Jan,-20,0,2400,0,65,0,0,2002,1,Janvier
2-Jan,-20,10,55600,3210,290,130,905,2002,1,Janvier
2-Jan,-25,5,1200,0,0,0,40,2002,1,Janvier
2-Jan,-25,10,42208,450,3990,0,525,2002,1,Janvier
